state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff
Alabama,1049,DeKalb County,24767,4281,29356,20486,0.8436776127537810,0.14583049461779500,0.6978471181359860
Alabama,1051,Elmore County,30164,10367,41030,19797,0.7351693882524980,0.2526687789422370,0.48250060931026100
Alabama,1053,Escambia County,10869,4918,15910,5951,0.6831552482715270,0.3091137649277180,0.3740414833438090
Alabama,1055,Etowah County,35528,11567,47728,23961,0.7443848474689910,0.2423524974857530,0.5020323499832380
Alabama,1057,Fayette County,7300,1395,8766,5905,0.8327629477526810,0.1591375770020530,0.6736253707506280
Alabama,1059,Franklin County,10376,2086,12578,8290,0.8249324216886630,0.16584512641119400,0.6590872952774690
Alabama,1061,Geneva County,10848,1595,12545,9253,0.8647269828616980,0.12714228776404900,0.7375846950976490
Alabama,1063,Greene County,875,3884,4775,-3009,0.18324607329842900,0.8134031413612570,-0.6301570680628270
Alabama,1065,Hale County,3190,4687,7922,-1497,0.40267609189598600,0.5916435243625350,-0.1889674324665490
Alabama,1067,Henry County,6607,2606,9298,4001,0.7105829210582920,0.2802753280275330,0.43030759303075900
Alabama,1069,Houston County,32618,12917,46173,19701,0.7064301648149350,0.27975223615532900,0.4266779286596060
Alabama,1071,Jackson County,19670,3717,23636,15953,0.8322051108478590,0.15726011169402600,0.6749449991538330
Alabama,1073,Jefferson County,138843,181688,325848,-42845,0.426097444207115,0.5575851317178560,-0.1314876875107410
Alabama,1075,Lamar County,6174,978,7193,5196,0.858334491867093,0.13596552203531200,0.7223689698317810
Alabama,1077,Lauderdale County,31721,11915,44339,19806,0.7154198335551100,0.26872505018155600,0.4466947833735540
Alabama,1079,Lawrence County,12322,3562,16031,8760,0.7686357681991140,0.22219449815981500,0.5464412700392990
Alabama,1081,Lee County,42221,27860,71449,14361,0.590924995451301,0.38992848045459,0.20099651499671100
Alabama,1083,Limestone County,34640,13672,49235,20968,0.7035645374225650,0.27768863613283200,0.42587590128973300
Alabama,1085,Lowndes County,1836,4972,6835,-3136,0.2686174103877100,0.7274323335771760,-0.458814923189466
Alabama,1087,Macon County,1541,7108,8723,-5567,0.1766594061676030,0.8148572738736670,-0.6381978677060650
Alabama,1089,Madison County,102780,87286,194767,15494,0.5277074658438030,0.4481560017867500,0.07955146405705280
Alabama,1091,Marengo County,5343,5488,10900,-145,0.4901834862385320,0.50348623853211,-0.013302752293578000
Alabama,1093,Marion County,12205,1463,13807,10742,0.8839718983124500,0.10596074454986600,0.7780111537625840
Alabama,1095,Marshall County,33191,5943,39655,27248,0.8369940738872780,0.1498676081200350,0.6871264657672430
Alabama,1097,Mobile County,101243,79474,183164,21769,0.5527450809110960,0.43389530693804500,0.11884977397305200
Alabama,1099,Monroe County,6147,4455,10668,1692,0.5762092238470190,0.4176040494938130,0.1586051743532060
Alabama,1101,Montgomery County,33311,64529,99139,-31218,0.3360029857069370,0.6508941990538540,-0.314891213346917
Alabama,1103,Morgan County,39664,13234,53722,26430,0.7383194966680320,0.24634228062991000,0.4919772160381220
Alabama,1105,Perry County,1339,3860,5230,-2521,0.2560229445506690,0.7380497131931170,-0.4820267686424470
Alabama,1107,Pickens County,5594,4022,9668,1572,0.5786098469176670,0.41601158460901900,0.16259826230864700
Alabama,1109,Pike County,8042,5636,13841,2406,0.5810273824145650,0.40719601184885500,0.17383137056571100
Alabama,1111,Randolph County,8559,2203,10837,6356,0.7897942234935870,0.20328504198578900,0.5865091815077970
